I
1000 Generated by WorldEditor

1    229 1 0 SVMI Caracas Simon Bolivar Intl
100 45.11 1 0 0.25 0 3 1 10  10.60379977 -067.01273666    0   61 3 7 0 2 28  10.60481877 -066.98043360  496   61 2 0 0 2
100 44.20 1 0 0.25 0 2 0 09  10.59872477 -066.99766205  113    0 2 0 0 0 27  10.60527477 -066.97109305    0    0 2 0 0 2
110 2 0.00 120.0000 New Taxiway 1
111  10.60463846 -066.97210407
111  10.60467918 -066.97195438
111  10.60484787 -066.97199888
113  10.60481028 -066.97215058
110 2 0.00 120.0000 F-1
112  10.60281824 -066.99082140  10.60275230 -066.99074125
111  10.60271889 -066.99085069 3 102
111  10.60278704 -066.98883491
112  10.60284727 -066.98891756  10.60287464 -066.98893765
111  10.60295154 -066.98884034 3 102
113  10.60288843 -066.99088443
110 2 0.00 120.0000 F-2
111  10.60271736 -066.99622401
111  10.60256905 -066.99600735 3 102
111  10.60269639 -066.99138643
112  10.60278252 -066.99142699  10.60285735 -066.99149331
113  10.60286942 -066.99138256 3 102
110 2 0.00 120.0000 FoxtrotSeg
112  10.60243986 -067.00244761  10.60240564 -067.00239975
111  10.60234526 -067.00250124 3 102
111  10.60246174 -066.99929285
111  10.60246997 -066.99870676 3 102
111  10.60252531 -066.99676566
112  10.60261875 -066.99681808  10.60268458 -066.99685174
111  10.60269834 -066.99676179 3 102
113  10.60252400 -067.00251091
110 2 0.00 120.0000 FoxtrotSet2
111  10.60220698 -067.01229074 3 102
111  10.60203621 -067.01228530
111  10.60207284 -067.01217820
111  10.60205369 -067.01212373
111  10.60206047 -067.01174664 3 102
111  10.60233195 -067.00305256
111  10.60243561 -067.00310501 102
112  10.60250498 -067.00304869  10.60252147 -067.00295307 3 102
111  10.60227449 -067.01015574
111  10.60217180 -067.01045279
111  10.60215958 -067.01075772
111  10.60225148 -067.01102817 3 102
111  10.60221999 -067.01180863
113  10.60221012 -067.01212653
110 2 0.00 120.0000 New Taxiway 1
111  10.60127864 -066.99617917 6 106
111  10.60128585 -066.99597930 6 106
111  10.60146429 -066.99598663 6 106
113  10.60145791 -066.99623049
110 2 0.00 120.0000 New Taxiway 13
111  10.59798814 -066.99500605
111  10.59801736 -066.99488622
112  10.59813943 -066.99486905  10.59812939 -066.99494801
113  10.59814383 -066.99495176
110 2 0.00 120.0000 New Taxiway 12
111  10.59801736 -066.99488622
111  10.59818127 -066.99421269
111  10.59829016 -066.99428849
113  10.59813943 -066.99486905
110 2 0.00 120.0000 New Taxiway 9
111  10.59937530 -066.98985008
111  10.59922097 -066.98984980
111  10.60130970 -066.98131300
113  10.60148039 -066.98135909
110 2 0.00 120.0000 New Taxiway 7
111  10.59885746 -066.99013448
111  10.59885961 -066.99007972
111  10.59889406 -066.99000305
111  10.59895676 -066.99002307
111  10.59916856 -066.99008527
113  10.59913363 -066.99022522
110 2 0.00 120.0000 New Taxiway 6
111  10.60028683 -066.99053167
111  10.60016308 -066.99050784
111  10.59954403 -066.99032667
111  10.59927606 -066.99025397
111  10.59930980 -066.99011059
111  10.59957976 -066.99018531
111  10.60020344 -066.99034779
113  10.60033375 -066.99039031
110 2 0.00 120.0000 New Taxiway 5
111  10.60109527 -066.99652798 3 102
111  10.59944139 -066.99647733
111  10.59949508 -066.99637916
111  10.59944893 -066.99631118 3 102
111  10.60108740 -066.99637268
113  10.60104174 -066.99644230
110 2 0.00 120.0000 Alphapart2
111  10.60158860 -067.01223078 3 102
111  10.60103197 -067.01217872
111  10.60103993 -067.01179034 3 102
114  10.60155360 -067.01207418  10.60201131 -067.01209508
110 2 0.00 120.0000 New Taxiway 29
112  10.60278704 -066.98883491  10.60277034 -066.98859134 3 102
111  10.60298101 -066.98826133
112  10.60311919 -066.98835228  10.60294380 -066.98858735 3 102
113  10.60295154 -066.98884034
110 2 0.00 120.0000 New Taxiway 28
111  10.59828848 -066.99263151
112  10.59858645 -066.99240405  10.59864708 -066.99212304
111  10.59866055 -066.99243147
113  10.59850224 -066.99278102
110 2 0.00 120.0000 New Taxiway 27
111  10.60502565 -066.98058976
112  10.60506699 -066.98047974  10.60509789 -066.98047096 3 104
112  10.60518692 -066.98054434  10.60528978 -066.98062995 3 104
112  10.60529385 -066.98075435  10.60529793 -066.98087875 3 104
112  10.60528978 -066.98128098  10.60528570 -066.98160027 3 104
111  10.60502306 -066.98164097 3 104
113  10.60499150 -066.98164123
110 2 0.00 120.0000 New Taxiway 26
111  10.60441254 -066.98723127 3 102
111  10.60436437 -066.98678267 3 102
112  10.60406244 -066.98686863  10.60375120 -066.98738885
111  10.60424334 -066.98625234 3 102
112  10.60445087 -066.98578078  10.60444472 -066.98553177
113  10.60450510 -066.98607106
110 2 0.00 120.0000 New Taxiway 25
111  10.59944055 -066.99647747 3 102
112  10.59915958 -066.99672481  10.59909631 -066.99694882
111  10.59898060 -066.99662056
111  10.59909573 -066.99612776
111  10.59931591 -066.99608656 3 102
114  10.59944809 -066.99631132  10.59963790 -066.99631389
110 2 0.00 120.0000 New Taxiway 24
111  10.59861118 -066.99675619 3 102
112  10.59877431 -066.99663016  10.59880883 -066.99647462 3 102
112  10.59847610 -066.99645981  10.59832801 -066.99645920
111  10.59842418 -066.99627975 3 102
112  10.59891848 -066.99604944  10.59898752 -066.99577850
111  10.59891612 -066.99636843
113  10.59881703 -066.99688117
110 2 0.00 120.0000 New Taxiway 23
111  10.60426365 -066.99160454 3 102
112  10.60394837 -066.99122893  10.60369420 -066.99121958
111  10.60395111 -066.99105611 3 102
112  10.60429115 -066.99074246  10.60429710 -066.99051985
113  10.60438562 -066.99118653
110 2 0.00 120.0000 New Taxiway 23
111  10.60410260 -066.99703711 3 102
112  10.60375143 -066.99661964  10.60349726 -066.99661029
111  10.60375873 -066.99645083 3 102
112  10.60412403 -066.99618036  10.60411791 -066.99596851
113  10.60418528 -066.99657914
110 2 0.00 120.0000 New Taxiway 21
111  10.60107563 -066.99855693
112  10.60122238 -066.99843405  10.60122758 -066.99830986
111  10.60127693 -066.99840499
114  10.60127044 -066.99860846  10.60127173 -066.99860978
110 2 0.00 120.0000 New Taxiway 16
111  10.60246174 -066.99929285 3 102
112  10.60230074 -066.99904722  10.60216574 -066.99904142
111  10.60230477 -066.99887119 3 102
114  10.60246997 -066.99870676  10.60248518 -066.99854814
110 2 0.00 120.0000 New Taxiway 14
111  10.60178541 -066.99902620 3 102
112  10.60151715 -066.99927080  10.60150449 -066.99952827
111  10.60144644 -066.99924701
111  10.60147665 -066.99864771
111  10.60153533 -066.99857375 3 102
114  10.60179047 -066.99885626  10.60205874 -066.99886141
110 2 0.00 120.0000 New Taxiway 12
111  10.60389893 -067.00322135 3 102
112  10.60363003 -067.00291853  10.60344179 -067.00291466
112  10.60363450 -067.00274077  10.60363450 -067.00273497 3 102
114  10.60392726 -067.00247513  10.60394757 -067.00221319
110 2 0.00 120.0000 New Taxiway 11
111  10.60310139 -066.99121619 3 102
112  10.60286942 -066.99138256  10.60286371 -066.99153538
111  10.60269639 -066.99138643 3 102
112  10.60248922 -066.99113620  10.60233095 -066.99109512
111  10.60249036 -066.99096431 3 102
112  10.60271889 -066.99085069  10.60274551 -066.99069206
111  10.60288843 -066.99088443 3 102
114  10.60309793 -066.99102987  10.60323720 -066.99103851
110 2 0.00 120.0000 New Taxiway 11
111  10.60168415 -066.99654958 3 102
112  10.60143890 -066.99672861  10.60143319 -066.99688144
111  10.60126587 -066.99673248 3 102
112  10.60109527 -066.99652798  10.60093556 -066.99652411
111  10.60108740 -066.99637268 3 102
112  10.60127864 -066.99617917  10.60130526 -066.99602054
112  10.60138774 -066.99606240  10.60137943 -066.99606482
111  10.60145791 -066.99623049 3 102
114  10.60165847 -066.99638278  10.60179775 -066.99639142
110 2 0.00 120.0000 New Taxiway 11
111  10.60293032 -066.99659543 3 102
112  10.60269834 -066.99676179  10.60269264 -066.99691461
111  10.60252531 -066.99676566 3 102
112  10.60237510 -066.99658189  10.60221538 -066.99657802
111  10.60237130 -066.99640585 3 102
112  10.60253862 -066.99621434  10.60256524 -066.99605572 3 102
112  10.60256905 -066.99600735  10.60257286 -066.99595898
111  10.60271736 -066.99622401 3 102
114  10.60290180 -066.99641746  10.60302159 -066.99642326
110 2 0.00 120.0000 New Taxiway 11
111  10.60273760 -067.00287647 3 102
112  10.60250498 -067.00304869  10.60249928 -067.00320151
111  10.60233195 -067.00305256 3 102
112  10.60218174 -067.00286879  10.60202202 -067.00286492
111  10.60217794 -067.00269275 3 102
112  10.60234526 -067.00250124  10.60237188 -067.00234262
111  10.60252400 -067.00251091 3 102
114  10.60270844 -067.00270436  10.60282823 -067.00271016
110 2 0.00 120.0000 New Taxiway 9
112  10.60139695 -067.00238488  10.60139885 -067.00260734 3 102
112  10.60170723 -067.00267311  10.60177759 -067.00267698
111  10.60177759 -067.00274082
112  10.60169392 -067.00284528  10.60148096 -067.00284915 3 102
113  10.60135785 -067.00313851
110 2 0.00 120.0000 New Taxiway 8
111  10.60365440 -067.01098160 3 102
112  10.60339829 -067.01073586  10.60314217 -067.01072170
111  10.60339305 -067.01055141 3 102
